year,month,month_name,quarter,category,total_orders,planned_spend,planned_days,actual_days,avg_delay,delayed_orders,day_variance,delay_cost,on_time_rate,period
2022,1,January,1,Accessories,20,5782603.0,20.3,21.3,1.0,3,1.0,28913.0,85.0,2022-Q1
2022,1,January,1,Audio,13,2872837.0,24.2,28.1,3.85,8,3.9,55302.0,38.5,2022-Q1
2022,1,January,1,Computing,29,8945134.0,22.9,23.9,0.97,5,1.0,43384.0,82.8,2022-Q1
2022,1,January,1,Imaging,24,6481948.0,23.9,25.5,1.67,5,1.6,54124.0,79.2,2022-Q1
2022,1,January,1,Mobile,18,5793826.0,24.4,25.2,0.83,3,0.8,24044.0,83.3,2022-Q1
2022,2,February,1,Accessories,28,5782608.0,20.6,22.4,1.86,7,1.8,53778.0,75.0,2022-Q1
2022,2,February,1,Audio,8,2488103.0,20.8,23.4,2.63,2,2.6,32719.0,75.0,2022-Q1
2022,2,February,1,Computing,12,2534572.0,21.3,22.8,1.58,3,1.5,20023.0,75.0,2022-Q1
2022,2,February,1,Imaging,24,4421355.0,22.5,23.8,1.25,7,1.3,27633.0,70.8,2022-Q1
2022,2,February,1,Mobile,17,4238856.0,22.6,23.6,1.06,3,1.0,22466.0,82.39999999999999,2022-Q1
2022,3,March,1,Accessories,16,3233647.0,24.3,26.5,2.25,6,2.2,36379.0,62.5,2022-Q1
2022,3,March,1,Audio,16,5013046.0,28.6,28.9,0.31,1,0.3,7770.0,93.8,2022-Q1
2022,3,March,1,Computing,10,3746234.0,17.8,17.8,0.0,0,0.0,0.0,100.0,2022-Q1
2022,3,March,1,Imaging,18,5639422.0,21.0,22.4,1.39,4,1.4,39194.0,77.8,2022-Q1
2022,3,March,1,Mobile,16,4698884.0,23.6,26.2,2.63,6,2.6,61790.0,62.5,2022-Q1
2022,4,April,2,Accessories,22,5114529.0,18.0,20.0,2.0,6,2.0,51145.0,72.7,2022-Q2
2022,4,April,2,Audio,18,4977884.0,21.4,23.0,1.56,4,1.6,38827.0,77.8,2022-Q2
2022,4,April,2,Computing,15,4531648.0,16.0,17.7,1.73,5,1.7,39199.0,66.7,2022-Q2
2022,4,April,2,Imaging,20,5172488.0,20.9,21.9,1.0,3,1.0,25862.0,85.0,2022-Q2
2022,4,April,2,Mobile,19,6799489.0,23.8,26.2,2.37,5,2.4,80574.0,73.7,2022-Q2
2022,5,May,2,Accessories,17,4460881.0,22.5,22.5,0.0,0,0.0,0.0,100.0,2022-Q2
2022,5,May,2,Audio,17,5181773.0,25.1,26.6,1.59,4,1.5,41195.0,76.5,2022-Q2
