date_id,full_date,year,quarter,month,month_name,week,day_of_week
20220101,2022-01-01,2022,1,1,January,0,Saturday
20220102,2022-01-02,2022,1,1,January,0,Sunday
20220103,2022-01-03,2022,1,1,January,1,Monday
20220104,2022-01-04,2022,1,1,January,1,Tuesday
20220105,2022-01-05,2022,1,1,January,1,Wednesday
20220106,2022-01-06,2022,1,1,January,1,Thursday
20220107,2022-01-07,2022,1,1,January,1,Friday
20220108,2022-01-08,2022,1,1,January,1,Saturday
20220109,2022-01-09,2022,1,1,January,1,Sunday
20220110,2022-01-10,2022,1,1,January,2,Monday
20220111,2022-01-11,2022,1,1,January,2,Tuesday
20220112,2022-01-12,2022,1,1,January,2,Wednesday
20220113,2022-01-13,2022,1,1,January,2,Thursday
20220114,2022-01-14,2022,1,1,January,2,Friday
20220115,2022-01-15,2022,1,1,January,2,Saturday
20220116,2022-01-16,2022,1,1,January,2,Sunday
20220117,2022-01-17,2022,1,1,January,3,Monday
20220118,2022-01-18,2022,1,1,January,3,Tuesday
20220119,2022-01-19,2022,1,1,January,3,Wednesday
20220120,2022-01-20,2022,1,1,January,3,Thursday
20220121,2022-01-21,2022,1,1,January,3,Friday
20220122,2022-01-22,2022,1,1,January,3,Saturday
20220123,2022-01-23,2022,1,1,January,3,Sunday
20220124,2022-01-24,2022,1,1,January,4,Monday
20220125,2022-01-25,2022,1,1,January,4,Tuesday
20220126,2022-01-26,2022,1,1,January,4,Wednesday
20220127,2022-01-27,2022,1,1,January,4,Thursday
20220128,2022-01-28,2022,1,1,January,4,Friday
20220129,2022-01-29,2022,1,1,January,4,Saturday
20220131,2022-01-31,2022,1,1,January,5,Monday
20220201,2022-02-01,2022,1,2,February,5,Tuesday
20220202,2022-02-02,2022,1,2,February,5,Wednesday
20220203,2022-02-03,2022,1,2,February,5,Thursday
20220204,2022-02-04,2022,1,2,February,5,Friday
20220205,2022-02-05,2022,1,2,February,5,Saturday
20220206,2022-02-06,2022,1,2,February,5,Sunday
20220207,2022-02-07,2022,1,2,February,6,Monday
20220208,2022-02-08,2022,1,2,February,6,Tuesday
20220209,2022-02-09,2022,1,2,February,6,Wednesday
