order_id,date_id,product_id,supplier_id,region_id,quantity_ordered,unit_cost,total_cost,lead_time_days,actual_delivery_days,delay_days,is_delayed,warehouse_stock
ORD-00980,20220101,6,2,3,46,58.78,2703.88,26,26,0,0,922
ORD-01976,20220101,10,1,3,279,1027.82,286761.78,19,19,0,0,275
ORD-00649,20220101,1,2,5,342,860.11,294157.62,16,16,0,0,578
ORD-00756,20220101,1,2,3,389,171.77,66818.53,18,18,0,0,175
ORD-01138,20220101,1,5,1,326,618.39,201595.14,23,23,0,0,726
ORD-00269,20220102,5,5,2,405,1578.66,639357.3,23,23,0,0,438
ORD-00213,20220102,2,3,4,74,128.24,9489.76,31,42,11,1,604
ORD-00069,20220102,3,2,1,290,675.43,195874.7,29,38,9,1,834
ORD-01800,20220102,5,1,3,280,1858.74,520447.2,28,28,0,0,793
ORD-01914,20220102,9,3,1,270,476.99,128787.3,41,42,1,1,875
ORD-01492,20220103,9,1,1,142,600.2,85228.4,37,40,3,1,619
ORD-01550,20220103,10,5,2,409,1540.43,630035.87,43,43,0,0,41
ORD-00884,20220103,1,5,4,301,1591.68,479095.68,35,35,0,0,684
ORD-01301,20220104,5,5,3,405,1921.27,778114.35,22,26,4,1,403
ORD-00956,20220104,5,1,5,389,898.7,349594.3,24,24,0,0,826
ORD-00722,20220105,8,4,3,386,555.47,214411.42,26,26,0,0,29
ORD-00834,20220105,5,5,1,125,1791.28,223910.0,24,24,0,0,411
ORD-00133,20220105,4,1,4,412,1690.61,696531.32,3,3,0,0,359
ORD-00421,20220105,5,1,1,193,390.49,75364.57,19,19,0,0,68
ORD-01025,20220105,10,5,2,94,1316.0,123704.0,4,4,0,0,646
ORD-00952,20220106,1,2,1,349,1865.25,650972.25,22,22,0,0,519
ORD-01686,20220107,1,4,5,196,1604.05,314393.8,42,42,0,0,0
ORD-00883,20220107,2,3,1,279,976.83,272535.57,42,47,5,1,441
ORD-01833,20220107,1,5,2,134,1508.1,202085.4,14,14,0,0,289
ORD-01252,20220107,4,1,3,28,1237.01,34636.28,23,23,0,0,192
ORD-01618,20220107,4,4,3,114,931.49,106189.86,19,19,0,0,948
ORD-01228,20220108,1,5,2,205,1574.81,322836.05,33,41,8,1,455
ORD-00694,20220108,3,3,3,247,332.96,82241.12,11,11,0,0,589
ORD-00863,20220108,5,5,4,266,85.22,22668.52,40,40,0,0,112
ORD-01817,20220109,7,4,2,88,588.43,51781.84,30,35,5,1,454
ORD-00276,20220109,6,3,5,249,1460.62,363694.38,11,11,0,0,510
ORD-00599,20220109,5,2,1,90,1829.94,164694.6,14,16,2,1,958
ORD-00719,20220110,6,1,4,227,1874.84,425588.68,16,16,0,0,150
ORD-00990,20220110,5,2,4,337,60.36,20341.32,33,33,0,0,241
ORD-01941,20220110,2,3,1,56,966.11,54102.16,35,35,0,0,870
ORD-01100,20220111,4,4,4,326,900.79,293657.54,22,22,0,0,647
ORD-01777,20220111,1,4,4,297,1625.53,482782.41,15,15,0,0,985
ORD-01515,20220111,4,4,2,58,1201.24,69671.92,34,34,0,0,261
ORD-01346,20220111,5,5,4,414,1858.66,769485.24,23,29,6,1,283
ORD-00513,20220112,2,3,2,332,1875.67,622722.44,4,11,7,1,341
ORD-01400,20220112,2,1,3,75,1319.8,98985.0,10,10,0,0,339
ORD-00688,20220112,10,5,1,65,1996.53,129774.45,42,42,0,0,244
ORD-01845,20220112,2,1,5,353,283.66,100131.98,28,28,0,0,376
ORD-01985,20220112,3,5,4,365,1605.16,585883.4,42,42,0,0,955
ORD-00994,20220113,1,3,3,75,933.86,70039.5,21,21,0,0,301
ORD-01844,20220114,10,3,2,195,1753.95,342020.25,26,26,0,0,96
ORD-00054,20220114,6,4,2,198,1356.44,268575.12,35,35,0,0,69
ORD-01922,20220114,5,5,2,240,109.07,26176.8,16,16,0,0,712
ORD-01060,20220115,8,1,2,178,1252.1,222873.8,27,27,0,0,34
ORD-00139,20220115,5,1,1,49,729.77,35758.73,44,44,0,0,708
ORD-00890,20220115,10,2,5,320,1756.97,562230.4,3,3,0,0,622
ORD-00098,20220115,3,1,5,114,1367.29,155871.06,20,20,0,0,121
ORD-01084,20220115,4,4,1,435,1154.28,502111.8,5,5,0,0,528
ORD-01462,20220116,4,1,1,243,1448.58,352004.94,21,21,0,0,812
ORD-01422,20220116,6,1,4,312,1049.26,327369.12,27,27,0,0,532
ORD-00491,20220116,9,2,1,200,1364.69,272938.0,17,18,1,1,129
ORD-00341,20220117,10,3,3,128,1890.79,242021.12,36,36,0,0,506
ORD-01315,20220117,1,5,1,279,620.85,173217.15,32,32,0,0,898
ORD-01668,20220117,8,1,4,234,1227.55,287246.7,17,17,0,0,557
ORD-01643,20220117,1,4,5,120,1705.14,204616.8,24,31,7,1,996
ORD-01396,20220117,1,3,1,86,646.7,55616.2,23,32,9,1,474
ORD-01376,20220117,10,3,5,390,1609.54,627720.6,24,24,0,0,976
ORD-00366,20220118,7,1,1,123,1295.16,159304.68,31,31,0,0,227
ORD-01205,20220118,6,2,1,126,1828.15,230346.9,4,4,0,0,577
ORD-00560,20220119,7,2,4,456,516.49,235519.44,22,22,0,0,350
ORD-01204,20220119,3,3,5,148,1840.12,272337.76,27,27,0,0,510
ORD-01542,20220120,10,5,4,50,1042.98,52149.0,8,15,7,1,220
ORD-01974,20220120,5,1,4,383,1654.34,633612.22,18,24,6,1,904
ORD-00391,20220120,7,1,4,405,1949.98,789741.9,22,22,0,0,466
ORD-01906,20220121,6,5,4,368,1329.42,489226.56,9,17,8,1,14
ORD-00007,20220121,7,4,1,295,1965.16,579722.2,40,40,0,0,531
ORD-01715,20220121,4,5,3,471,1561.56,735494.76,36,36,0,0,113
ORD-00048,20220121,8,3,4,404,730.65,295182.6,16,18,2,1,813
ORD-00320,20220122,2,3,3,249,233.42,58121.58,20,29,9,1,852
ORD-01672,20220122,9,3,3,112,1686.43,188880.16,6,6,0,0,465
ORD-01839,20220122,5,2,4,193,130.68,25221.24,12,12,0,0,161
ORD-00030,20220122,1,4,3,475,1335.12,634182.0,18,32,14,1,917
ORD-01708,20220122,6,5,1,303,467.8,141743.4,25,25,0,0,622
ORD-01042,20220123,3,5,3,290,1579.85,458156.5,10,13,3,1,560
ORD-00481,20220123,5,4,4,349,400.31,139708.19,37,37,0,0,49
ORD-01105,20220123,1,3,1,43,1675.09,72028.87,34,34,0,0,954
ORD-00746,20220123,8,3,5,352,1273.42,448243.84,5,5,0,0,991
ORD-01878,20220124,8,2,4,267,1394.06,372214.02,43,43,0,0,724
ORD-01165,20220125,9,4,1,387,1912.72,740222.64,9,22,13,1,647
ORD-01382,20220125,10,3,3,313,1794.47,561669.11,26,29,3,1,464
ORD-00906,20220125,5,2,3,308,1024.12,315428.96,16,16,0,0,266
ORD-00578,20220125,1,5,4,168,901.88,151515.84,26,26,0,0,218
ORD-00966,20220126,3,1,1,308,256.94,79137.52,19,19,0,0,612
ORD-00861,20220126,1,2,1,299,294.61,88088.39,14,14,0,0,364
ORD-00328,20220127,7,3,1,354,1001.8,354637.2,3,3,0,0,809
ORD-01740,20220127,3,1,2,110,944.38,103881.8,10,10,0,0,916
ORD-01323,20220127,4,1,2,195,437.37,85287.15,35,35,0,0,433
ORD-00894,20220128,2,1,4,214,1124.73,240692.22,35,35,0,0,176
ORD-01928,20220128,4,2,5,305,1872.57,571133.85,20,20,0,0,174
ORD-00874,20220128,7,2,1,405,106.23,43023.15,32,32,0,0,305
ORD-00117,20220128,5,5,3,234,1718.51,402131.34,4,4,0,0,804
ORD-00164,20220128,5,1,2,439,644.43,282904.77,14,14,0,0,112
ORD-01304,20220129,1,2,2,473,375.76,177734.48,29,29,0,0,575
ORD-01477,20220129,6,2,2,447,1348.15,602623.05,30,30,0,0,943
ORD-01687,20220129,6,4,5,223,172.64,38498.72,17,17,0,0,701
ORD-01126,20220129,4,3,4,118,622.84,73495.12,35,45,10,1,309
ORD-01343,20220129,10,4,2,18,1222.7,22008.6,28,28,0,0,992
ORD-00613,20220129,6,2,2,463,1170.94,542145.22,9,9,0,0,530
ORD-01621,20220131,6,3,2,288,1446.89,416704.32,29,29,0,0,871
ORD-01195,20220201,9,4,1,437,1196.0,522652.0,20,20,0,0,0
ORD-01688,20220202,8,1,5,24,1388.84,33332.16,20,20,0,0,380
ORD-00120,20220202,9,5,1,245,1403.44,343842.8,31,41,10,1,941
ORD-00315,20220202,10,1,1,342,815.55,278918.1,4,4,0,0,127
ORD-00763,20220203,3,4,5,32,827.7,26486.4,17,17,0,0,201
ORD-01314,20220203,8,3,4,248,1594.49,395433.52,4,14,10,1,151
ORD-00917,20220203,6,5,3,396,1621.12,641963.52,30,30,0,0,511
ORD-00518,20220204,1,1,1,312,1688.78,526899.36,31,31,0,0,747
ORD-00064,20220204,4,5,5,219,60.53,13256.07,35,36,1,1,523
ORD-01978,20220204,8,5,5,226,924.32,208896.32,28,31,3,1,619
ORD-01870,20220204,3,1,1,132,538.63,71099.16,30,30,0,0,640
ORD-00389,20220205,6,1,3,435,1136.16,494229.6,35,35,0,0,533
ORD-00153,20220205,8,5,4,208,964.63,200643.04,34,34,0,0,188
ORD-00350,20220206,7,5,5,307,643.92,197683.44,14,14,0,0,411
ORD-01581,20220206,6,2,2,19,170.04,3230.76,27,27,0,0,541
ORD-01661,20220206,8,5,2,371,431.63,160134.73,7,12,5,1,702
ORD-00274,20220206,3,3,3,371,1865.63,692148.73,28,37,9,1,967
ORD-00547,20220206,8,1,3,243,1718.85,417680.55,21,21,0,0,209
ORD-01575,20220207,7,2,1,426,316.61,134875.86,36,36,0,0,51
ORD-00322,20220207,8,3,3,372,1263.52,470029.44,19,19,0,0,219
ORD-01051,20220208,10,4,3,390,984.86,384095.4,39,39,0,0,734
ORD-01476,20220208,1,1,3,61,1265.61,77202.21,23,23,0,0,526
ORD-00382,20220208,1,3,5,309,1078.27,333185.43,5,5,0,0,677
ORD-01701,20220208,7,5,2,147,827.2,121598.4,3,3,0,0,807
ORD-00637,20220208,5,2,1,162,798.39,129339.18,25,25,0,0,717
ORD-00896,20220208,3,1,2,447,273.15,122098.05,41,41,0,0,742
ORD-01383,20220208,6,3,4,265,1107.97,293612.05,5,5,0,0,782
ORD-00585,20220208,4,4,5,368,1340.66,493362.88,28,36,8,1,961
ORD-01454,20220208,3,3,1,215,1313.89,282486.35,28,28,0,0,582
ORD-01996,20220208,1,5,5,291,923.55,268753.05,39,39,0,0,274
ORD-01586,20220209,8,1,1,373,652.13,243244.49,20,20,0,0,68
ORD-00948,20220209,7,5,5,119,1393.55,165832.45,41,41,0,0,903
ORD-01595,20220209,6,2,4,34,296.03,10065.02,15,15,0,0,291
ORD-01596,20220209,1,4,2,277,411.55,113999.35,31,31,0,0,90
ORD-01569,20220209,7,5,4,118,946.22,111653.96,38,38,0,0,802
ORD-00704,20220210,3,4,2,284,1580.21,448779.64,19,27,8,1,5
ORD-00096,20220210,3,4,1,268,289.7,77639.6,4,4,0,0,963
ORD-01313,20220210,6,5,1,29,1383.49,40121.21,11,23,12,1,855
ORD-00116,20220210,3,5,3,358,350.59,125511.22,8,16,8,1,514
ORD-01032,20220211,8,5,1,334,99.02,33072.68,22,28,6,1,31
ORD-01311,20220211,7,4,2,294,867.81,255136.14,44,44,0,0,208
ORD-00588,20220211,10,3,4,84,1685.17,141554.28,6,6,0,0,781
ORD-01381,20220211,6,5,4,86,518.17,44562.62,13,13,0,0,507
ORD-00509,20220212,8,1,5,213,1140.98,243028.74,12,12,0,0,917
ORD-00815,20220212,6,5,1,296,348.61,103188.56,20,28,8,1,445
ORD-01395,20220213,7,5,3,86,1017.98,87546.28,11,15,4,1,307
ORD-01789,20220215,10,4,5,140,1286.48,180107.2,39,40,1,1,392
ORD-00845,20220215,4,1,4,381,674.36,256931.16,20,20,0,0,602
ORD-01639,20220215,2,4,5,473,828.69,391970.37,5,5,0,0,389
ORD-00346,20220215,3,2,4,61,1630.35,99451.35,29,29,0,0,330
ORD-00468,20220216,2,4,4,140,327.17,45803.8,36,47,11,1,486
ORD-00676,20220216,6,1,5,15,1285.26,19278.9,10,10,0,0,887
ORD-00425,20220216,3,4,4,79,1049.58,82916.82,23,23,0,0,858
ORD-01537,20220216,8,2,2,29,278.24,8068.96,28,28,0,0,622
ORD-01089,20220216,6,2,4,19,1235.52,23474.88,27,27,0,0,802
ORD-01420,20220216,7,3,4,455,174.04,79188.2,4,4,0,0,277
ORD-00851,20220216,5,1,3,491,1624.32,797541.12,15,15,0,0,527
ORD-00858,20220217,1,2,2,142,435.07,61779.94,38,38,0,0,436
ORD-00121,20220217,5,2,4,192,1062.37,203975.04,27,37,10,1,527
ORD-01177,20220218,6,4,2,287,1411.04,404968.48,6,12,6,1,653
ORD-00339,20220218,6,5,1,176,1236.28,217585.28,12,12,0,0,10
ORD-01236,20220220,5,2,1,250,316.63,79157.5,10,10,0,0,697
ORD-00832,20220220,3,3,4,280,1566.48,438614.4,36,36,0,0,785
ORD-01125,20220220,8,3,4,32,964.2,30854.4,36,36,0,0,444
ORD-00401,20220220,2,1,3,436,89.1,38847.6,23,23,0,0,923
ORD-00757,20220220,2,2,5,463,1651.1,764459.3,21,21,0,0,854
ORD-00222,20220222,4,5,5,242,651.51,157665.42,7,7,0,0,562
ORD-00811,20220222,9,4,4,193,289.12,55800.16,15,15,0,0,85
ORD-00091,20220222,7,4,5,249,1042.71,259634.79,29,29,0,0,617
ORD-01276,20220222,7,4,4,465,1410.41,655840.65,4,4,0,0,679
ORD-00418,20220222,3,5,4,95,1679.78,159579.1,24,25,1,1,666
ORD-00775,20220223,10,3,5,97,1503.03,145793.91,24,24,0,0,270
ORD-00414,20220223,3,3,4,105,667.37,70073.85,4,4,0,0,295
ORD-00284,20220223,5,2,3,384,939.51,360771.84,10,10,0,0,763
