product_name,category,region_name,supplier_name,reliability,year,month,month_name,quarter,quantity_ordered,total_cost,lead_time_days,actual_delivery_days,delay_days,is_delayed,warehouse_stock
Mouse,Accessories,North,Globalparts Ltd,Medium,2022,1,January,1,46,2703.88,26,26,0,0,922
Tablet,Mobile,North,Fastsupply Co,Medium,2022,1,January,1,279,286761.78,19,19,0,0,275
Camera,Imaging,West,Globalparts Ltd,Medium,2022,1,January,1,342,294157.62,16,16,0,0,578
Camera,Imaging,North,Globalparts Ltd,Medium,2022,1,January,1,389,66818.53,18,18,0,0,175
Camera,Imaging,Central,Techcorp India,Low,2022,1,January,1,326,201595.14,23,23,0,0,726
Monitor,Computing,East,Techcorp India,Low,2022,1,January,1,405,639357.3,23,23,0,0,438
Headphones,Audio,South,Quickship Asia,Medium,2022,1,January,1,74,9489.76,31,42,11,1,604
Keyboard,Accessories,Central,Globalparts Ltd,Medium,2022,1,January,1,290,195874.7,29,38,9,1,834
Monitor,Computing,North,Fastsupply Co,Medium,2022,1,January,1,280,520447.2,28,28,0,0,793
Speaker,Audio,Central,Quickship Asia,Medium,2022,1,January,1,270,128787.3,41,42,1,1,875
Speaker,Audio,Central,Fastsupply Co,Medium,2022,1,January,1,142,85228.4,37,40,3,1,619
Tablet,Mobile,East,Techcorp India,Low,2022,1,January,1,409,630035.87,43,43,0,0,41
Camera,Imaging,South,Techcorp India,Low,2022,1,January,1,301,479095.68,35,35,0,0,684
Monitor,Computing,North,Techcorp India,Low,2022,1,January,1,405,778114.35,22,26,4,1,403
Monitor,Computing,West,Fastsupply Co,Medium,2022,1,January,1,389,349594.3,24,24,0,0,826
Printer,Imaging,North,Reliablegoods,Medium,2022,1,January,1,386,214411.42,26,26,0,0,29
Monitor,Computing,Central,Techcorp India,Low,2022,1,January,1,125,223910.0,24,24,0,0,411
Laptop,Computing,South,Fastsupply Co,Medium,2022,1,January,1,412,696531.32,3,3,0,0,359
Monitor,Computing,Central,Fastsupply Co,Medium,2022,1,January,1,193,75364.57,19,19,0,0,68
Tablet,Mobile,East,Techcorp India,Low,2022,1,January,1,94,123704.0,4,4,0,0,646
Camera,Imaging,Central,Globalparts Ltd,Medium,2022,1,January,1,349,650972.25,22,22,0,0,519
Camera,Imaging,West,Reliablegoods,Medium,2022,1,January,1,196,314393.8,42,42,0,0,0
Headphones,Audio,Central,Quickship Asia,Medium,2022,1,January,1,279,272535.57,42,47,5,1,441
Camera,Imaging,East,Techcorp India,Low,2022,1,January,1,134,202085.4,14,14,0,0,289
