product_name,avg_stock,total_ordered,total_cost,avg_lead_time,reorder_point,stock_status
Camera,494.76354679802955,50541,50712743.28,23.783251231527093,1647.0,Low Stock
Headphones,480.4812834224599,46186,50206800.04,22.737967914438503,1439.0,Low Stock
Keyboard,521.8826291079812,49892,50938775.87,23.6056338028169,1613.0,Low Stock
Laptop,509.7313432835821,53135,52974146.76,21.975124378109452,1600.0,Low Stock
Monitor,518.9575471698113,57771,59409439.28,23.056603773584907,1825.0,Low Stock
Mouse,485.7142857142857,51711,53258701.019999996,24.15270935960591,1711.0,Low Stock
Phone,462.5520833333333,47131,51134733.59,25.03125,1616.0,Low Stock
Printer,525.1560975609756,51617,53490729.27,24.12682926829268,1706.0,Low Stock
Speaker,470.9441340782123,45764,46876773.2,24.70949720670391,1549.0,Low Stock
Tablet,497.3170731707317,49598,54862157.089999996,23.521951219512196,1598.0,Low Stock
