order_id,order_date,product_name,supplier_name,region,quantity_ordered,unit_cost,lead_time_days,actual_delivery,is_delayed,warehouse_stock,total_cost,delay_days,actual_delivery_days
ORD-00980,2022-01-01,Mouse,GlobalParts Ltd,North,46,58.78,26,,False,922,2703.88,0,26
ORD-01976,2022-01-01,Tablet,FastSupply Co,North,279,1027.82,19,,False,275,286761.77999999997,0,19
ORD-00649,2022-01-01,Camera,GlobalParts Ltd,West,342,860.11,16,,False,578,294157.62,0,16
ORD-00756,2022-01-01,Camera,GlobalParts Ltd,North,389,171.77,18,,False,175,66818.53,0,18
ORD-01138,2022-01-01,Camera,TechCorp India,Central,326,618.39,23,,False,726,201595.13999999998,0,23
ORD-00269,2022-01-02,Monitor,TechCorp India,East,405,1578.66,23,,False,438,639357.3,0,23
ORD-00213,2022-01-02,Headphones,QuickShip Asia,South,74,128.24,31,,True,604,9489.76,11,42
ORD-00069,2022-01-02,Keyboard,GlobalParts Ltd,Central,290,675.43,29,,True,834,195874.69999999998,9,38
ORD-01800,2022-01-02,Monitor,FastSupply Co,North,280,1858.74,28,,False,793,520447.2,0,28
ORD-01914,2022-01-02,Speaker,QuickShip Asia,Central,270,476.99,41,,True,875,128787.3,1,42
ORD-01492,2022-01-03,Speaker,FastSupply Co,Central,142,600.2,37,,True,619,85228.40000000001,3,40
ORD-01550,2022-01-03,Tablet,TechCorp India,East,409,1540.43,43,,False,41,630035.87,0,43
ORD-00884,2022-01-03,Camera,TechCorp India,South,301,1591.68,35,,False,684,479095.68,0,35
ORD-01301,2022-01-04,Monitor,TechCorp India,North,405,1921.27,22,,True,403,778114.35,4,26
ORD-00956,2022-01-04,Monitor,FastSupply Co,West,389,898.7,24,,False,826,349594.30000000005,0,24
ORD-00722,2022-01-05,Printer,ReliableGoods,North,386,555.47,26,,False,29,214411.42,0,26
ORD-00834,2022-01-05,Monitor,TechCorp India,Central,125,1791.28,24,,False,411,223910.0,0,24
ORD-00133,2022-01-05,Laptop,FastSupply Co,South,412,1690.61,3,,False,359,696531.32,0,3
ORD-00421,2022-01-05,Monitor,FastSupply Co,Central,193,390.49,19,,False,68,75364.57,0,19
ORD-01025,2022-01-05,Tablet,TechCorp India,East,94,1316.0,4,,False,646,123704.0,0,4
ORD-00952,2022-01-06,Camera,GlobalParts Ltd,Central,349,1865.25,22,,False,519,650972.25,0,22
ORD-01686,2022-01-07,Camera,ReliableGoods,West,196,1604.05,42,,False,0,314393.8,0,42
ORD-00883,2022-01-07,Headphones,QuickShip Asia,Central,279,976.83,42,,True,441,272535.57,5,47
ORD-01833,2022-01-07,Camera,TechCorp India,East,134,1508.1,14,,False,289,202085.4,0,14
ORD-01252,2022-01-07,Laptop,FastSupply Co,North,28,1237.01,23,,False,192,34636.28,0,23
ORD-01618,2022-01-07,Laptop,ReliableGoods,North,114,931.49,19,,False,948,106189.86,0,19
ORD-01228,2022-01-08,Camera,TechCorp India,East,205,1574.81,33,,True,455,322836.05,8,41
ORD-00694,2022-01-08,Keyboard,QuickShip Asia,North,247,332.96,11,,False,589,82241.12,0,11
ORD-00863,2022-01-08,Monitor,TechCorp India,South,266,85.22,40,,False,112,22668.52,0,40
ORD-01817,2022-01-09,Phone,ReliableGoods,East,88,588.43,30,,True,454,51781.84,5,35
ORD-00276,2022-01-09,Mouse,QuickShip Asia,West,249,1460.62,11,,False,510,363694.37999999995,0,11
ORD-00599,2022-01-09,Monitor,GlobalParts Ltd,Central,90,1829.94,14,,True,958,164694.6,2,16
ORD-00719,2022-01-10,Mouse,FastSupply Co,South,227,1874.84,16,,False,150,425588.68,0,16
ORD-00990,2022-01-10,Monitor,GlobalParts Ltd,South,337,60.36,33,,False,241,20341.32,0,33
ORD-01941,2022-01-10,Headphones,QuickShip Asia,Central,56,966.11,35,,False,870,54102.16,0,35
ORD-01100,2022-01-11,Laptop,ReliableGoods,South,326,900.79,22,,False,647,293657.54,0,22
ORD-01777,2022-01-11,Camera,ReliableGoods,South,297,1625.53,15,,False,985,482782.41,0,15
ORD-01515,2022-01-11,Laptop,ReliableGoods,East,58,1201.24,34,,False,261,69671.92,0,34
ORD-01346,2022-01-11,Monitor,TechCorp India,South,414,1858.66,23,,True,283,769485.24,6,29
ORD-00513,2022-01-12,Headphones,QuickShip Asia,East,332,1875.67,4,,True,341,622722.4400000001,7,11
ORD-01400,2022-01-12,Headphones,FastSupply Co,North,75,1319.8,10,,False,339,98985.0,0,10
ORD-00688,2022-01-12,Tablet,TechCorp India,Central,65,1996.53,42,,False,244,129774.45,0,42
ORD-01845,2022-01-12,Headphones,FastSupply Co,West,353,283.66,28,,False,376,100131.98000000001,0,28
ORD-01985,2022-01-12,Keyboard,TechCorp India,South,365,1605.16,42,,False,955,585883.4,0,42
ORD-00994,2022-01-13,Camera,QuickShip Asia,North,75,933.86,21,,False,301,70039.5,0,21
ORD-01844,2022-01-14,Tablet,QuickShip Asia,East,195,1753.95,26,,False,96,342020.25,0,26
ORD-00054,2022-01-14,Mouse,ReliableGoods,East,198,1356.44,35,,False,69,268575.12,0,35
ORD-01922,2022-01-14,Monitor,TechCorp India,East,240,109.07,16,,False,712,26176.8,0,16
ORD-01060,2022-01-15,Printer,FastSupply Co,East,178,1252.1,27,,False,34,222873.8,0,27
ORD-00139,2022-01-15,Monitor,FastSupply Co,Central,49,729.77,44,,False,708,35758.729999999996,0,44
ORD-00890,2022-01-15,Tablet,GlobalParts Ltd,West,320,1756.97,3,,False,622,562230.4,0,3
ORD-00098,2022-01-15,Keyboard,FastSupply Co,West,114,1367.29,20,,False,121,155871.06,0,20
ORD-01084,2022-01-15,Laptop,ReliableGoods,Central,435,1154.28,5,,False,528,502111.8,0,5
ORD-01462,2022-01-16,Laptop,FastSupply Co,Central,243,1448.58,21,,False,812,352004.94,0,21
ORD-01422,2022-01-16,Mouse,FastSupply Co,South,312,1049.26,27,,False,532,327369.12,0,27
ORD-00491,2022-01-16,Speaker,GlobalParts Ltd,Central,200,1364.69,17,,True,129,272938.0,1,18
ORD-00341,2022-01-17,Tablet,QuickShip Asia,North,128,1890.79,36,,False,506,242021.12,0,36
ORD-01315,2022-01-17,Camera,TechCorp India,Central,279,620.85,32,,False,898,173217.15,0,32
ORD-01668,2022-01-17,Printer,FastSupply Co,South,234,1227.55,17,,False,557,287246.7,0,17
ORD-01643,2022-01-17,Camera,ReliableGoods,West,120,1705.14,24,,True,996,204616.80000000002,7,31
ORD-01396,2022-01-17,Camera,QuickShip Asia,Central,86,646.7,23,,True,474,55616.200000000004,9,32
ORD-01376,2022-01-17,Tablet,QuickShip Asia,West,390,1609.54,24,,False,976,627720.6,0,24
ORD-00366,2022-01-18,Phone,FastSupply Co,Central,123,1295.16,31,,False,227,159304.68000000002,0,31
ORD-01205,2022-01-18,Mouse,GlobalParts Ltd,Central,126,1828.15,4,,False,577,230346.90000000002,0,4
ORD-00560,2022-01-19,Phone,GlobalParts Ltd,South,456,516.49,22,,False,350,235519.44,0,22
ORD-01204,2022-01-19,Keyboard,QuickShip Asia,West,148,1840.12,27,,False,510,272337.76,0,27
ORD-01542,2022-01-20,Tablet,TechCorp India,South,50,1042.98,8,,True,220,52149.0,7,15
ORD-01974,2022-01-20,Monitor,FastSupply Co,South,383,1654.34,18,,True,904,633612.22,6,24
ORD-00391,2022-01-20,Phone,FastSupply Co,South,405,1949.98,22,,False,466,789741.9,0,22
ORD-01906,2022-01-21,Mouse,TechCorp India,South,368,1329.42,9,,True,14,489226.56000000006,8,17
ORD-00007,2022-01-21,Phone,ReliableGoods,Central,295,1965.16,40,,False,531,579722.2000000001,0,40
ORD-01715,2022-01-21,Laptop,TechCorp India,North,471,1561.56,36,,False,113,735494.76,0,36
ORD-00048,2022-01-21,Printer,QuickShip Asia,South,404,730.65,16,,True,813,295182.6,2,18
ORD-00320,2022-01-22,Headphones,QuickShip Asia,North,249,233.42,20,,True,852,58121.579999999994,9,29
ORD-01672,2022-01-22,Speaker,QuickShip Asia,North,112,1686.43,6,,False,465,188880.16,0,6
ORD-01839,2022-01-22,Monitor,GlobalParts Ltd,South,193,130.68,12,,False,161,25221.24,0,12
ORD-00030,2022-01-22,Camera,ReliableGoods,North,475,1335.12,18,,True,917,634182.0,14,32
ORD-01708,2022-01-22,Mouse,TechCorp India,Central,303,467.8,25,,False,622,141743.4,0,25
ORD-01042,2022-01-23,Keyboard,TechCorp India,North,290,1579.85,10,,True,560,458156.5,3,13
ORD-00481,2022-01-23,Monitor,ReliableGoods,South,349,400.31,37,,False,49,139708.19,0,37
ORD-01105,2022-01-23,Camera,QuickShip Asia,Central,43,1675.09,34,,False,954,72028.87,0,34
ORD-00746,2022-01-23,Printer,QuickShip Asia,West,352,1273.42,5,,False,991,448243.84,0,5
ORD-01878,2022-01-24,Printer,GlobalParts Ltd,South,267,1394.06,43,,False,724,372214.01999999996,0,43
ORD-01165,2022-01-25,Speaker,ReliableGoods,Central,387,1912.72,9,,True,647,740222.64,13,22
ORD-01382,2022-01-25,Tablet,QuickShip Asia,North,313,1794.47,26,,True,464,561669.11,3,29
ORD-00906,2022-01-25,Monitor,GlobalParts Ltd,North,308,1024.12,16,,False,266,315428.95999999996,0,16
ORD-00578,2022-01-25,Camera,TechCorp India,South,168,901.88,26,,False,218,151515.84,0,26
ORD-00966,2022-01-26,Keyboard,FastSupply Co,Central,308,256.94,19,,False,612,79137.52,0,19
ORD-00861,2022-01-26,Camera,GlobalParts Ltd,Central,299,294.61,14,,False,364,88088.39,0,14
ORD-00328,2022-01-27,Phone,QuickShip Asia,Central,354,1001.8,3,,False,809,354637.2,0,3
ORD-01740,2022-01-27,Keyboard,FastSupply Co,East,110,944.38,10,,False,916,103881.8,0,10
ORD-01323,2022-01-27,Laptop,FastSupply Co,East,195,437.37,35,,False,433,85287.15,0,35
ORD-00894,2022-01-28,Headphones,FastSupply Co,South,214,1124.73,35,,False,176,240692.22,0,35
ORD-01928,2022-01-28,Laptop,GlobalParts Ltd,West,305,1872.57,20,,False,174,571133.85,0,20
ORD-00874,2022-01-28,Phone,GlobalParts Ltd,Central,405,106.23,32,,False,305,43023.15,0,32
ORD-00117,2022-01-28,Monitor,TechCorp India,North,234,1718.51,4,,False,804,402131.34,0,4
ORD-00164,2022-01-28,Monitor,FastSupply Co,East,439,644.43,14,,False,112,282904.76999999996,0,14
ORD-01304,2022-01-29,Camera,GlobalParts Ltd,East,473,375.76,29,,False,575,177734.47999999998,0,29
ORD-01477,2022-01-29,Mouse,GlobalParts Ltd,East,447,1348.15,30,,False,943,602623.05,0,30
